Date,Description,Withdrawals($)
15Jul,ContactlessInteracpurchase-6532,13.81
NA,ContactlessInteracTransit-2378,3.15
NA,ContactlessInteracTransit-8485 TLNK/0450773780,101.91
16Jul,ContactlessInteracpurchase-0525 TIMHORTONS#29,95.24
17Jul,ContactlessInteracpurchase-7168,2.84
NA,ContactlessInteracpurchase-3136,6.25
NA,VisaDebitpurchase-8744,1.44
NA,VisaDebitpurchase-1551,8.43
NA,VisaDebitpurchase-5797 PaysendFastFu,56.99
18Jul,ContactlessInteracpurchase-3041,6.67
NA,VisaDebitpurchase-1201 WWW.COURSEHERO.,8.24
19Jul,ContactlessInteracpurchase-8642 CAMPUSMARKET,4.55
22Jul,,50.00
NA,VisaDebitcorrection-1201,42.08
NA,e-Transfer-Autodeposit THIANHTHUPHAM C1AKtye7C7vj,"1,636.63"
NA,ContactlessInteracpurchase-0502,5.78
NA,ContactlessInteracpurchase-6469,7.98
NA,VisaDebitpurchase-1876,27.99
NA,VisaDebitpurchase-1201 WWW.COURSEHERO.,"1,552.75"
23Jul,,211.00
NA,Mobilechequedeposit-5030,"2,173.68"
NA,VisaDebitpurchase-9978,17.50
NA,OnlineTransfertoDepositAccount-1343,656.18
24Jul,ContactlessInteracpurchase-3711,2.40
NA,VisaDebitpurchase-0093 PaysendFastFu,634.28
26Jul,ContactlessInteracpurchase-3998,3.65
NA,ContactlessInteracpurchase-5729,4.78
NA,VisaDebitpurchase-5385 PUBLICMOBILE,586.75
29Jul,ContactlessInteracpurchase-0296,3.24
NA,ContactlessInteracpurchase-7862,8.65
NA,OnlineTransfertoDepositAccount-8526,24.86
31Jul,ContactlessInteracpurchase-2630,1.42
NA,ContactlessInteracpurchase-2290 7-ELEVENSTORE,15.68
1Aug,OnlineBankingtransfer-2739,215.68
5Aug,OnlineBankingtransfer-9941,715.68
NA,ContactlessInteracpurchase-5094,3.65
NA,VisaDebitpurchase-6803,21.04
NA,VisaDebitpurchase-5598,25.20
NA,VisaDebitpurchase-8538,30.71
NA,VisaDebitpurchase-9095,35.97
NA,VisaDebitpurchase-8630 Wealthsimple,99.11
6Aug,Mobilechequedeposit-9420,509.04
NA,ContactlessInteracpurchase-7166,5.79
NA,ContactlessInteracpurchase-5114,7.25
NA,VisaDebitpurchase-1787 UBERCANADA/UBE,492.85
7Aug,VisaDebitrefund-5700 StuDocuCOM,528.82
NA,VisaDebitpurchase-3208,10.00
NA,OnlineTransfertoDepositAccount-3947,98.82
8Aug,OnlineBankingtransfer-8336,298.82
NA,e-Transfersent Devi,80.00
NA,ContactlessInteracpurchase-5609,1.47
NA,ContactlessInteracpurchase-7612,35.00
NA,ContactlessInteracpurchase-1746,75.00
NA,VisaDebitpurchase-5329 GOOGLE*YouTube,92.41
9Aug,ContactlessInteracpurchase-8629,10.91
NA,VisaDebitpurchase-3800,4.00
NA,VisaDebitpurchase-6762 HONKPARKING,73.50
12Aug,Interacpurchase-0314 SUPERSAVEGAS,33.50
NA,ContactlessInteracpurchase-4990,1.61
NA,ContactlessInteracpurchase-5871,2.94
NA,ContactlessInteracpurchase-7948,19.94
NA,VisaDebitpurchase-6509,2.00
NA,VisaDebitpurchase-5089 HONKPARKING,3.01
NA,,
